vestibular,questão,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,alternativa_correta,area_conhecimento,alternativa escolhida pela ia,resposta original,modelo,processing time,temperature used during test,parser_antigo
FUVEST 26,"O Brasil é o líder mundial em reciclagem de alumínio, atingindo
números próximos a 99% de latas recicladas no ano de 2021.
Essas latas, já utilizadas para refrigerantes, cervejas,
energéticos, agora começam a trazer também água mineral
em seu interior.
Considere que uma empresa deseja envasar 350 mL de água
em uma lata de alumínio de formato cilíndrico e que, por
razões práticas como manuseio e custo do material, o
diâmetro da base dessa lata deve ter entre 5 cm e 8 cm.
Qual será, aproximadamente, em centímetros, a menor altura
possível da lata?",5,7,13,18,28,B,Ciências Humanas,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.02,0.5,!ERROR!
FUVEST 26,"Considere a equação trigonométrica
𝑠𝑒𝑛 𝜋
2 + 𝑠𝑒𝑛 𝑥 = 𝑠𝑒𝑛 (2𝑥) − cos 𝜋
para¬¬𝑥∈ℝ, 0 ≤ 𝑥 < 2𝜋.
Um estudante resolveu essa equação da seguinte maneira:
𝑠𝑒𝑛 𝜋
2 + 𝑠𝑒𝑛 𝑥 = 𝑠𝑒𝑛 (2𝑥) − cos 𝜋
1 + 𝑠𝑒𝑛 𝑥 = 𝑠𝑒𝑛 (2𝑥) + 1
𝑠𝑒𝑛 𝑥 = 𝑠𝑒𝑛 (2𝑥)
𝑠𝑒𝑛 𝑥 = 2𝑠𝑒𝑛 𝑥
2𝑠𝑒𝑛 𝑥 − 𝑠𝑒𝑛 𝑥 = 0
𝑠𝑒𝑛 𝑥 = 0
𝑥 = 0 𝑜𝑢 𝑥 = 𝜋
A resolução apresentada pelo estudante está errada, pois ele",considerou que cos 𝜋 vale 1.,"não considerou as infinitas voltas no ciclo trigonométrico
para a resposta.",considerou que sen pi/2 vale 1,não utilizou corretamente o seno da soma de dois arcos.,apresentou duas respostas e não apenas uma.,D,Matemática,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.019,0.5,!ERROR!
FUVEST 26,"A rega e o zelo geraram uma infinidade de seres que
descobria nos dedos ao mexer na terra: minhocas, besouros
verdes, bichos-de-conta.
Djaimilia Pereira de Almeida. A visão das plantas.
Na obra A visão das plantas (2021) são descritas
características dos animais e das plantas no jardim cuidado
por Celestino. Nesta frase, são citados animais que pertencem
a diferentes grupos de invertebrados, como as minhocas
(anelídeos), os besouros (insetos) e os bichos-de-conta
(crustáceos), também conhecidos como tatuzinhos de jardim.
Assinale a alternativa que apresenta corretamente a
informação sobre o sistema respiratório destes grup"," Os besouros e os bichos-de-conta apresentam respiração
traqueal, sendo a umidade do solo importante em ambos
os casos.","As minhocas apresentam respiração cutânea e os
besouros apresentam respiração traqueal, sendo a
umidade do solo importante em ambos os casos.","Os besouros apresentam respiração traqueal e os bichosde-conta apresentam respiração pulmonar, e a umidade
do solo não é importante na respiração destes animais.","As minhocas, os besouros e os bichos-de-conta
apresentam respiração branquial, sendo a umidade do
solo importante na respiração dos três animais.","As minhocas, os besouros e os bichos-de-conta
apresentam respiração pulmonar, e a umidade do solo não
é importante na respiração dos três animais.",C,Matemática,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0199,0.5,!ERROR!
FUVEST 26,"Quando no dia seguinte, também no final da tarde, Fio
Jasmim se dirigiu para a pequena joalheria, ele pensou em ser
mais cuidadoso ao pronunciar qualquer nome de mulher perto
de Dolores dos Santos. Quando contou o incidente para os
companheiros maquinistas, os mais velhos riram dele e
perguntaram qual o motivo de ele estar tão preocupado com
a pequena distração cometida. Nem ele sabia bem o porquê.
Entretanto, não gostava de pronunciar o nome da esposa para
outras mulheres. A de casa é santa, pensava ele. Se ele
tivesse dito pelo menos Juventina, seria mais fácil explicar.
Assustado com o próprio pensamento, Fio Jasmim não
entendia o que estava se passando com ele. Estaria por acaso
pensando em alguma conquista? Ouvira dizer que ela era uma
mulher namoradeira, mas que não parava com homem algum,
tinha um gênio indomável. Todas essas considerações não lhe
importavam, não estava interessado na mulher. Mas e se ela
estivesse interessada nele...
Conceição Evaristo. Canção para ninar menino grande.
No romance de Conceição Evaristo, Fio Jasmim, por meio de
suas viagens, é o elo que agrega as várias personagens
femininas que se relacionam com ele. De acordo com essa
consideração, Fio Jasmim","atende a uma forma de masculinidade que rompe com os
estereótipos, expressando uma identidade inovadora e
desvinculada das expectativas sociais."," relaciona-se com as personagens femininas de maneira
igualitária e com respeito mútuo, que não correspondem
às dinâmicas de poder desiguais.","reproduz uma masculinidade estereotipada por meio de
atitudes que, em larga medida, atendem às expectativas
sociais e culturais, reproduzindo estereótipos do gênero."," resiste a expectativas internas e externas, o que subverte
um esperado comportamento masculino","sente culpa e arrependimento por seu comportamento
com mulheres, apesar de reforçar ideais de virilidade e
dominação do estereótipo da masculinidade.",C,Ciências da Natureza,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0143,0.5,!ERROR!
FUVEST 26,"O processo de corrosão do aço é favorecido em ambientes úmidos e ácidos. Para evitar a corrosão de superfícies de aço é comum utilizar óleos para impedir o contato da umidade do ar com a superfície. Nos casos em que o uso de óleo não é conveniente, é possível criar uma camada de NaOH(s) na superfície do metal aplicando uma solução aquosa relativamente concentrada desta base sobre a ferramenta e deixando a solução secar por completo. Esse tipo de tratamento com hidróxido de sódio é efetivo em ambientes com elevada acidez pois, caso a água entre em contato com a superfície tratada, ela","será repelida pela camada hidrofóbica de hidróxido de
sódio, evitando o contato direto da água com o metal e sua
oxidação.","olubilizará o hidróxido de sódio, que neutralizará o ácido
presente na água que poderia induzir o processo de
oxidação na superfície do metal.","será oxidada pelo hidróxido de sódio, gerando sua forma
reduzida que, em contato com a superfície do metal,
impede o processo de corrosão.","gerará um acúmulo de água na superfície hidrofílica da
camada de hidróxido de sódio, impedindo sua
solubilização e a consequente formação de ácido.","reagirá diretamente com o sódio do hidróxido de sódio, já
que este atuará como metal de sacrifício, sofrendo
oxidação e protegendo a superfície metálica.",B,Linguagens,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0125,0.5,!ERROR!
FUVEST 26,"Os grotões transformaram-se em jardins cortados a meio
pelas avenidas e pela sombra dos viadutos não há mais sapo.
Nos jardins encontrareis recintos fechados com instrutoras,
dentistas, educadoras sanitárias dentro. São os parques
infantis, onde as crianças proletárias se socializam
aprendendo nos brinquedos o cooperativismo e a consciência
do homem social.
Mário de Andrade. “Dia de São Paulo”. Revista do Arquivo
Municipal. São Paulo: Departamento de Cultura, 1936, nº 19.
O excerto relata alterações na paisagem urbana paulistana
com a implantação de novos equipamentos que visavam","substituir o ambiente degradado e nocivo dos cortiços e
vilas operárias por espaços públicos marcados pela flora
da Mata Atlântica."," disciplinar o lazer das crianças com a introdução de
noções de saúde preventiva e de atividades racionais e
pedagógicas","produzir formas de ajustamento social que afastassem os
jovens do ócio e dos vícios, por meio da educação
profissionalizante","promover valores cristãos através da evangelização e do
assistencialismo baseado na caridade e na recreação.","organizar um novo programa escolar voltado para as
crianças proletárias, adotando uma pedagogia pautada no
nacionalismo e civismo.",B,Ciências da Natureza,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0122,0.5,!ERROR!
FUVEST 26,"Uma startup de tecnologia está desenvolvendo um novo
aplicativo e observa que o número de usuários está
crescendo, em milhares, após t semanas do lançamento, de
acordo com a função:
𝑀(𝑡) = 200 × ((1,1) elevado a t))
Com isso, a equipe da startup quer saber: qual é o período,
em semanas, em que o número de usuários ultrapassa
300 mil? Note e adote:
𝑙𝑜𝑔 3 ≅ 0,4771 ; 𝑙𝑜𝑔 5 ≅ 0,6990 e 𝑙𝑜𝑔 11 ≅ 1,0414",Entre 0 e 1 semana,Entre 1 e 3 semanas.,Entre 2 e 4 semanas., Entre 3 e 4 semanas.,Entre 4 e 6 semanas.,E,Ciências Humanas,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0071,0.5,!ERROR!
FUVEST 26,"A jornada das mulheres pela igualdade de direitos no Brasil,
como em outras partes do mundo, sempre envolveu lutas
sociais, políticas e jurídicas, com marcos importantes como a
Lei Geral de 1827, que permitiu o acesso das mulheres à
educação, e a Constituição de 1934, que garantiu o direito ao
voto feminino. A partir da década de 1960, houve avanços
significativos, como o Estatuto da Mulher Casada (1962), que
eliminou a necessidade de receber autorização do marido
para diversas atividades, e, na década de 1970, a Lei do
Divórcio (1977) e o fortalecimento dos movimentos feministas.
As obras Caminho de pedras, de Rachel de Queiroz, e As
meninas, de Lygia Fagundes Telles, discutem questões
relativas aos direitos das mulheres e sua relação com a política
ao longo do século XX no Brasil. Sobre esses romances, é
correto afirmar:","Em Caminho de pedras, Rachel de Queiroz relaciona a luta
pelos direitos da mulher à legalização do divórcio no Brasil,
enquanto As meninas constitui um libelo pela educação
feminina no período final da Era Vargas.","As personagens Angelita, de Caminho de pedras, e Ana
Clara, de As meninas, impactam a vida dos protagonistas
de seus romances e representam a transformação da
condição social das mulheres ao romperem com a
configuração familiar tradicional.","Em Caminho de pedras e em As meninas, a política
(militância de esquerda) e a religião (internato de freiras)
são instituições que, em vez de contribuírem para a revisão
de valores morais e para a emancipação feminina,
aprofundam os mecanismos de controle social sobre as
mulheres."," Tanto Caminho de pedras quanto As meninas relacionam
o exercício da política coletiva (militância de esquerda, luta
contra a ditadura militar) à política exercida em nível da
vida privada e do cotidiano, por meio da trajetória de
personagens femininas que desafiam padrões sociais
estabelecidos.","Tanto Caminho de pedras quanto As meninas exercem
uma crítica à chamada “mulher burguesa”. O romance de
Rachel de Queiroz narra os desdobramentos do desejo de
ascensão social de Noemi, enquanto o de Lygia Fagundes
Telles detalha o apego de Lorena à instituição do
casamento.",D,Matemática,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0069,0.5,!ERROR!
FUVEST 26,"Para uma atividade de campo voltada à valorização do
patrimônio histórico e cultural, professores de geografia
levaram seus estudantes a um parque temático de
monumentos geográficos. Eles visitaram a réplica de uma
pirâmide regular de base quadrada com vértice a 18 metros
de altura em relação ao centro da base. As faces da pirâmide
estão voltadas para as direções norte, sul, leste e oeste. Para
acessar o vértice da pirâmide, os estudantes precisaram
percorrer uma trilha de pedestre e subir a rampa localizada na
face norte. A trilha compreende os lados oeste, sul, leste e
metade do lado norte do quadrado. Essa rampa está
localizada exatamente no meio da face, ou seja, é o apótema
da pirâmide.
Sabendo-se que o volume da pirâmide é de 864 m3
, quantos
metros, aproximadamente, os estudantes tiveram que
percorrer para chegar até o topo da pirâmide?",36,41,48,54,61,E,Ciências Humanas,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0053,0.5,!ERROR!
FUVEST 26,"A escola não pode ignorar as diferenças sociolinguísticas.
Os professores e, por meio deles, os alunos têm que estar bem
conscientes de que existem duas ou mais maneiras de dizer a
mesma coisa. E mais, que essas formas alternativas servem a
propósitos comunicativos distintos e são recebidas de
maneira diferenciada pela sociedade. Os alunos que chegam
à escola falando “nós cheguemu”, “abrido” e “ele drome”, por
exemplo, têm que ser respeitados e ver valorizadas as suas
peculiaridades linguístico-culturais, mas têm o direito
inalienável de aprender as variantes de prestígio dessas
expressões. Não se lhes pode negar esse conhecimento, sob
pena de se fecharem para eles as portas, já estreitas, da
ascensão social.
BORTONI-RICARDO, S. M. Nós cheguemos na escola, e agora?
Sociolinguística & Educação. São Paulo: Parábola, 2005. Adaptado.
De acordo com o texto, cabe aos professores","respeitar as variações linguísticas dos alunos, mas solicitar
que eles utilizem a norma culta no ambiente escolar.","incentivar o uso das variações regionais dos alunos, mas
mostrar a eles que a escola recebe variantes de forma
preconceituosa.","respeitar as particularidades linguísticas dos alunos, mas
dar a eles condições de aprender outras variantes.","mostrar aos alunos que eles podem cometer erros em
relação ao uso de verbos, mas que isso pode ser
prejudicial à ascensão social."," ensinar aos alunos a norma padrão da língua, mas permitir
que eles cometam erros para não serem excluídos pela
sociedade.",C,Matemática,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0081,0.5,!ERROR!
FUVEST 26,"A bióloga Lynn Margulis publicou um polêmico artigo em 1967
propondo que algumas organelas das células eucarióticas
poderiam ser o resultado de eventos de endossimbiose, no
qual bactérias passaram a viver em simbiose dentro de células
eucarióticas até serem completamente incorporadas a elas. A
hipótese de Margulis sofreu muita oposição, até que
evidências experimentais mostraram que algumas organelas
de fato possuíam muitas similaridades com bactérias. Entre as
evidências de endossimbiose, podemos citar:",As membranas duplas dos núcleos,Os ribossomos aderidos ao retículo endoplasmático.,A parede celular das células vegetais,O formato do complexo de Golgi.,O genoma circular das mitocôndrias,E,Linguagens,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0055,0.5,!ERROR!
FUVEST 26,"During the nineteen-seventies and eighties, a researcher at
the University of Washington started noticing something strange
in the college’s experimental forest. For years, a blight of
caterpillars had been munching the trees to death. Then,
suddenly, the caterpillars themselves started dying off. The forest
was able to recover. But what had happened to the caterpillars?
The researcher, David Rhoades, who had a background in
chemistry and zoology, found that the trees in the forest had
changed the chemistry of their leaves, to the detriment of the
caterpillars. Even more surprising, trees that had been nibbled by
caterpillars weren’t the only ones that had changed their
chemistry. Some were changing their leaves before caterpillars
reached them, as if they’d received a warning. A shocking
possibility presented itself: the trees were signalling to one
another.
Zoë Schlanger recounts Rhoades’s story in her new book,
“The Light Eaters: How the Unseen World of Plant Intelligence
Offers a New Understanding of Life on Earth.”
The contemporary world of botany that Schlanger explores in
“The Light Eaters” is still divided over the matter of how plants
sense the world and whether they can be said to communicate.
But, in the past twenty years, the idea that plants communicate
has gained broader acceptance. Research in recent decades has
shown garden-variety lima beans protecting themselves by
synthesizing and releasing chemicals to summon the predators of
the insects that eat them; lab-grown pea shoots navigating mazes
and responding to the sound of running water; and a chameleonic
vine in the jungles of Chile mimicking the shape and color of
nearby plants by a mechanism that’s not yet understood.
Schlanger acknowledges that some of the research yields as
many questions as answers. It’s not clear how the vine gathers
information about surrounding plants to perform its mimicry.
New Yorker. 12 June 2024. Adaptado.

Conforme o texto, a experiência conduzida por David Rhoades,
na floresta experimental da Universidade de Washington,
tornou-se marcante para a botânica, por revelar a","dependência das árvores de inimigos naturais para a
manutenção do equilíbrio das florestas.","alteração da composição das folhas, capaz de
comprometer a sobrevivência de insetos herbívoros.","variabilidade das lagartas como fator decisivo para a
resiliência dos ecossistemas.","influência determinante da fertilidade do solo na
recuperação da vegetação.","oscilação natural das populações de pragas como causa
da regeneração florestal.",B,Ciências da Natureza,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0138,0.5,!ERROR!
FUVEST 26,"A vacina contra a dengue co-desenvolvida pelo Brasil, a
Qdenga, começou a ser oferecida pelo SUS em 2024.
Indivíduos imunocompetentes recebem vírus atenuados ao
serem vacinados, adquirindo imunidade sem ficar doentes.
Pessoas com imunodeficiências, indivíduos com HIV
sintomático, gestantes e lactantes não podem ser vacinadas.
No entanto, estas pessoas podem ser beneficiadas com a
vacinação da população, pois","pessoas não-vacinadas adquirem imunidade por contato
com vacinados.","mosquitos transmissores da dengue morrem ao picar
pessoas vacinadas","vírus atenuados alteram o material genético dos vírus
selvagens","as chances de epidemias diminuem quando a cobertura
vacinal é alta.","pessoas vacinadas liberam anticorpos contra o vírus no
ambiente.",D,Ciências da Natureza,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.013,0.5,!ERROR!
FUVEST 26,"Nós sentimos o sabor dos alimentos com o cérebro!
Esta afirmação à primeira vista nos parece estranha. No
entanto, assim como ocorre em todos os sentidos do sistema
sensorial, no caso do paladar, a percepção consciente do
sabor só acontece quando sinais específicos chegam ao
cérebro. Assinale a alternativa que apresenta corretamente a
informação descrita neste processo.","Os componentes químicos dos alimentos interagem com
proteínas receptoras nas células gustativas, e um potencial
de ação é transmitido ao cérebro.","Os componentes químicos dos alimentos são convertidos
em uma corrente elétrica que estimula o músculo da
língua.","No processo de transdução sensorial do paladar, os
componentes químicos dos alimentos são convertidos em
um impulso hormonal que ativa as glândulas salivares.","Os componentes químicos dos alimentos ativam,
diretamente, os neurônios responsáveis por transmitir os
sinais gustativos ao cérebro","A primeira etapa da transdução de sinal no paladar ocorre
quando os receptores gustativos são ativados por
hormônios digestivos.",A,Ciências da Natureza,E,"litellm.UnsupportedParamsError: gpt-5 models (including gpt-5-codex) don't support temperature=0.5. Only temperature=1 is supported. For gpt-5.1, temperature is supported when reasoning_effort='none' (or not specified, as it defaults to 'none'). To drop unsupported params set `litellm.drop_params = True`",gpt-5-nano,20.0137,0.5,!ERROR!
